,index,model,label,top1_acc,f1_macro,mcc,precision,recall,nu_class,nu_test,nu_train
0,0,embedding_nammu,class,0.9166666666666666,0.7337043395137709,0.8378802062962641,0.7808866353873603,0.728946642199919,17.0,672,2685
0,0,embedding_glm,class,0.7752976190476191,0.30381960520792295,0.5063401913202514,0.40216114021376587,0.27804561493020574,17.0,672,2685
0,0,embedding_nammu,order,0.6264880952380952,0.4842798436140623,0.5604462984421251,0.5526869133186083,0.48704118436316585,32.0,672,2684
0,0,embedding_glm,order,0.44047619047619047,0.21461310402588582,0.33430975318653766,0.2500917320525479,0.2485058335190096,32.0,672,2684
0,0,embedding_nammu,family,0.6438152011922503,0.5010295523929319,0.5920522784443079,0.6348972001672349,0.5150253479089582,36.0,671,2683
0,0,embedding_glm,family,0.4366616989567809,0.26144973247944586,0.33898814840423375,0.32718198578056007,0.2893581597347248,36.0,671,2683
0,0,embedding_nammu,genus,0.5409836065573771,0.45250655518892285,0.5032670858339164,0.5526667216800178,0.47476097245898513,39.0,671,2682
0,0,embedding_glm,genus,0.2995529061102832,0.2152805927342001,0.23656851749166188,0.27853160994063103,0.24179722675784632,39.0,671,2682
0,0,embedding_nammu,species,0.4307004470938897,0.40198760446450643,0.4144541771254692,0.4837252231007479,0.43273327236733894,45.0,671,2680
0,0,embedding_glm,species,0.23248882265275708,0.17632111946747026,0.20273038235937502,0.1938721614033275,0.2261652548231159,45.0,671,2680
