,index,model,label,top1_acc,f1_macro,mcc,precision,recall,nu_class,nu_test,nu_train
0,0,embedding_nammu,class,0.8213404214923106,0.5887082345173111,0.7615378402141123,0.5213558238966872,0.738724317409748,29.0,5267,21064
0,0,embedding_glm,class,0.6474273780140497,0.39989051678701343,0.5702501331015233,0.3434759872704794,0.6071454615581614,29.0,5267,21064
0,0,embedding_nammu,order,0.5162640289138292,0.437089067145646,0.5068826507524504,0.41075168111906735,0.5575694879033398,51.0,5257,21026
0,0,embedding_glm,order,0.3361232642191364,0.2965014490169613,0.33169545187734384,0.2963978840357488,0.44000637110289964,51.0,5257,21026
0,0,embedding_nammu,family,0.45653414494959105,0.3705134017166097,0.4494483423502696,0.35691702047017304,0.5100106343837544,72.0,5257,21024
0,0,embedding_glm,family,0.27011603576184134,0.234355087926731,0.266447283624272,0.26316872119384327,0.36758317926774464,72.0,5257,21024
0,0,embedding_nammu,genus,0.3997719931597948,0.2790285550349618,0.3948714545422744,0.2861576792693032,0.4236741815618344,100.0,5263,21052
0,0,embedding_glm,genus,0.2118563556906707,0.17441169561220632,0.2093175968567998,0.23530898692731256,0.3098682215978652,100.0,5263,21052
0,0,embedding_nammu,species,0.32953898690950484,0.2227269146518958,0.32570229956800895,0.25850366543247166,0.33950678631556586,125.0,5271,21084
0,0,embedding_glm,species,0.17852399924113072,0.13591299959524056,0.1758567366939803,0.2116713810585139,0.2250885852786505,125.0,5271,21084
