,index,model,label,top1_acc,f1_macro,mcc,precision,recall,nu_class,nu_test,nu_train
0,0,embedding_nammu,class,0.9109119662625198,0.7128788121898996,0.8643297547256017,0.6760713211961952,0.7674872364857628,22.0,1897,7587
0,0,embedding_glm,class,0.8070637849235636,0.5675501724004705,0.7274429880679327,0.5097033252977611,0.6722247487649382,22.0,1897,7587
0,0,embedding_nammu,order,0.7074327886136004,0.6294298914157102,0.6842490854257078,0.5999055942213105,0.690437790275044,40.0,1897,7586
0,0,embedding_glm,order,0.5097522403795467,0.46208349056682324,0.49109804994921546,0.4208308363624898,0.5890151553088325,40.0,1897,7586
0,0,embedding_nammu,family,0.6626251976805483,0.5802596099331268,0.6471681036358966,0.555392980365995,0.6565675095691633,52.0,1897,7585
0,0,embedding_glm,family,0.44385872430152873,0.3887857200004758,0.4350576703795138,0.3615999662679453,0.545572209341836,52.0,1897,7585
0,0,embedding_nammu,genus,0.665084388185654,0.5207026328731031,0.653380141296144,0.5007091699965842,0.5853205894620327,60.0,1896,7582
0,0,embedding_glm,genus,0.4129746835443038,0.3288060217097851,0.4027925068462048,0.3251753026959514,0.45821905604474134,60.0,1896,7582
0,0,embedding_nammu,species,0.5342827004219409,0.438150123458072,0.5252828174790829,0.42478022528906184,0.5080053516127278,70.0,1896,7580
0,0,embedding_glm,species,0.33175105485232065,0.26510980312474897,0.3247735282466747,0.27746899853694723,0.3769874246560063,70.0,1896,7580
