,index,model,label,top1_acc,f1_macro,mcc,precision,recall,nu_class,nu_test,nu_train
0,0,embedding_nammu,class,0.5216298778084352,0.3300690976495872,0.4557875759193871,0.3053428657185006,0.5704387891768578,34.0,20296,81180
0,0,embedding_glm,class,0.2795624753646039,0.21987329401645095,0.25403209295875057,0.2270515671257609,0.44092335234980845,34.0,20296,81180
0,0,embedding_nammu,order,0.23338607594936708,0.2008410938231788,0.22974981073519088,0.24380752165178698,0.35472041031014473,68.0,20224,80893
0,0,embedding_glm,order,0.1300929588607595,0.1350098133758037,0.12977171255195033,0.21591936805032655,0.2614849561325394,68.0,20224,80893
0,0,embedding_nammu,family,0.16737539556962025,0.14120214424325941,0.16628719739005238,0.20890490587783186,0.2533227087635936,111.0,20224,80893
0,0,embedding_glm,family,0.07916337025316456,0.08914383266853976,0.07911809006638278,0.20287258044404236,0.18976743241693889,111.0,20224,80893
0,0,embedding_nammu,genus,0.1288274096682091,0.10420045521545725,0.1281177267358879,0.19556226054545117,0.17271046994133413,165.0,20314,81252
0,0,embedding_glm,genus,0.052377670572019294,0.06269055417096232,0.052303800104611824,0.15875799967575704,0.10381072972255359,165.0,20314,81252
0,0,embedding_nammu,species,0.08984355843264186,0.07046119559884975,0.08926138870781392,0.17100168997347076,0.13512098441141557,224.0,20391,81563
0,0,embedding_glm,species,0.033740375655926635,0.04560325968209252,0.03367611023014133,0.12177905483314619,0.09106621769708144,224.0,20391,81563
