,index,model,label,top1_acc,f1_macro,mcc,precision,recall,nu_class,nu_test,nu_train
0,0,embedding_nammu,class,0.793430795519271,0.36993860742804247,0.6732364094225715,0.4707872835962683,0.37704419204249484,29.0,5267,21064
0,0,embedding_glm,class,0.6216062274539587,0.15553330398887483,0.32469755756114765,0.30587144686020873,0.14494029059057986,29.0,5267,21064
0,0,embedding_nammu,order,0.4890622027772494,0.3080696796299907,0.42414131972170654,0.38577659841324796,0.3301824926077009,51.0,5257,21026
0,0,embedding_glm,order,0.3043560966330607,0.12733056366086581,0.19692812242016577,0.18470664494501413,0.15108603865435227,51.0,5257,21026
0,0,embedding_nammu,family,0.4171580749476888,0.2706088286165004,0.37180283645058815,0.3574897937273892,0.3033996646172423,72.0,5257,21024
0,0,embedding_glm,family,0.24006087121932662,0.10394626761668811,0.16750091657368202,0.1415809685963713,0.1220359741935976,72.0,5257,21024
0,0,embedding_nammu,genus,0.36443093292798784,0.20587278023457206,0.33280483167296665,0.26378945638346046,0.24501960521979047,100.0,5263,21052
0,0,embedding_glm,genus,0.1930457913737412,0.1004169522381217,0.14597162462960384,0.12938514966834347,0.116371851759316,100.0,5263,21052
0,0,embedding_nammu,species,0.27774615822424586,0.1626631234016473,0.2586314887193648,0.2072718019295705,0.20429758661078176,125.0,5271,21084
0,0,embedding_glm,species,0.14513375071143997,0.06976499987355463,0.11988529960293935,0.08191855291825209,0.09554544207824801,125.0,5271,21084
