,index,model,label,top1_acc,f1_macro,mcc,precision,recall,nu_class,nu_test,nu_train
0,0,embedding_nammu,class,0.9732142857142857,0.8795132471399004,0.9498787946880461,0.8958473775546947,0.8771529634581106,17.0,672,2685
0,0,embedding_glm,class,0.8809523809523809,0.6699096213600239,0.7982321366369679,0.6293005382881638,0.7443043365238058,17.0,672,2685
0,0,embedding_nammu,order,0.8095238095238095,0.7775157691343598,0.7812564757587711,0.8130060891156412,0.7659897060523406,32.0,672,2684
0,0,embedding_glm,order,0.6309523809523809,0.5728517911107656,0.5962298936697985,0.5414286842917503,0.6518670822955083,32.0,672,2684
0,0,embedding_nammu,family,0.7719821162444114,0.7370585193274174,0.7465973964904561,0.739865377796919,0.7431751128730468,36.0,671,2683
0,0,embedding_glm,family,0.5767511177347243,0.5594193842723716,0.5511624540439672,0.5138184414177704,0.6798748369065561,36.0,671,2683
0,0,embedding_nammu,genus,0.7451564828614009,0.7528797668093276,0.7266454246497563,0.7936114191259542,0.7424272156074923,39.0,671,2682
0,0,embedding_glm,genus,0.5707898658718331,0.5251704902415968,0.5505523605379715,0.49486780047380935,0.6008977733864276,39.0,671,2682
0,0,embedding_nammu,species,0.6095380029806259,0.6167924137933277,0.5937806302285774,0.642384576998976,0.6228597520948278,45.0,671,2680
0,0,embedding_glm,species,0.46348733233979134,0.4226540130849049,0.4471850907534514,0.396028777375756,0.5135275307537047,45.0,671,2680
